"N.Registro";"Tipo";"Categoría";"Nombre";"Dirección";"C.Postal";"Provincia";"Municipio";"Localidad";"Nucleo";"Teléfono 1";"Teléfono 2";"Teléfono 3";"Email";"web";"Q Calidad";"Plazas";"GPS.Longitud";"GPS.Latitud";"accesible a personas con discapacidad";
"05/000037";"Cafetería / Bar";"2ª - 1 Taza";"KEBAB SAN ROQUE";"SAN ROQUE, PASEO, 13";"05003";"Ávila";"Ávila";"AVILA";"AVILA";"920038175";"617901198";"";"ektitoll@yahoo.es";"www.kebabsanroque.com";"";"28";"";"";"";
"37/000016";"Cafetería";"2ª - 1 Taza";"EL ARCO";"CONCEJO, 1";"37002";"Salamanca";"Salamanca";"SALAMANCA";"SALAMANCA";"219047";"";"";"";"";"";"108";"";"";"";
"42/000019";"Cafetería";"2ª - 1 Taza";"EL ARCO";"SAN ANDRES, 7";"42200";"Soria";"Almazán";"ALMAZAN";"ALMAZAN";"975310227";"636409148";"";"";"";"";"75";"";"";"";
"24/000184";"Cafetería";"2ª - 1 Taza";"CAFE CLASICO";"Calle JOSEFINA RODRIGUEZ ALDECOA, 4";"24640";"León";"Robla (La)";"ROBLA (LA)";"ROBLA (LA)";"601205610";"";"";"";"";"";"40";"";"";"";
"37/000159";"Cafetería";"2ª - 1 Taza";"LOS ARCOS";"PLZ.MAYOR,17";"37500";"Salamanca";"Ciudad Rodrigo";"CIUDAD RODRIGO";"";"460664";"";"";"";"";"";"42";"";"";"";
"37/000175";"Cafetería";"2ª - 1 Taza";"ARMUÑA";"CARRETERA SALAMANCA VALLADOLID,KM,9";"37439";"Salamanca";"Castellanos de Moriscos";"CASTELLANOS DE MORISCOS";"";"381382";"";"";"";"";"";"17";"";"";"";
"37/000162";"Cafetería";"2ª - 1 Taza";"EL ASADOR DE VAN DYCK 33";"Calle VAN DYCK 33  Bjº";"37005";"Salamanca";"Salamanca";"SALAMANCA";"SALAMANCA";"923217200";"647535217";"";"fiscal@jmzasesores.com";"";"";"60";"";"";"";
"37/000073";"Cafetería";"2ª - 1 Taza";"ASTORIA";"SAN VICENTE, PASEO, 22-24";"37007";"Salamanca";"Salamanca";"SALAMANCA";"SALAMANCA";"268472";"";"";"";"";"";"49";"";"";"";
"24/000284";"Cafetería";"2ª - 1 Taza";"ASUNCION";"AVDA. MARIANO ANDRES, 182";"24008";"León";"León";"LEON";"LEON";"987078099";"664430785";"";"";"";"";"52";"";"";"";
"24/000174";"Cafetería";"2ª - 1 Taza";"SPA EL MOLINO";"MOISES DE LEON, 53";"24006";"León";"León";"LEON";"LEON";"679473377";"";"";"";"";"";"43";"";"";"";
"47/000060";"Cafetería";"2ª - 1 Taza";"FUSSION";"DOS DE MAYO 12";"47004";"Valladolid";"Valladolid";"VALLADOLID";"VALLADOLID";"608369883";"";"";"LUISLIMBO@HOTMAIL.COM";"";"";"60";"";"";"Si";
"24/000263";"Cafetería";"2ª - 1 Taza";"ATLANTIC";"C/MAESTRO CANTORES, 3";"24005";"León";"León";"LEON";"";"987264212";"";"";"";"";"";"56";"";"";"";
"24/000033";"Cafetería";"2ª - 1 Taza";"AUTO-BAR";"JUAN ALVARADO, 11";"24100";"León";"Villablino";"VILLABLINO";"VILLABLINO";"987472111";"669256994";"";"";"";"";"76";"";"";"";
"37/000146";"Cafetería";"2ª - 1 Taza";"EL AVE";"LIBREROS,24-26";"37008";"Salamanca";"Salamanca";"SALAMANCA";"";"264511";"";"";"";"";"";"25";"";"";"";
"37/000082";"Cafetería";"2ª - 1 Taza";"AVENIDA";"PORTUGAL, AVENIDA, 130";"37006";"Salamanca";"Salamanca";"SALAMANCA";"SALAMANCA";"255722";"";"";"";"";"";"55";"";"";"";
"49/000016";"Cafetería";"2ª - 1 Taza";"LAS AVENIDAS";"Avenida PRINCIPE DE ASTURIAS 24";"49012";"Zamora";"Zamora";"ZAMORA";"ZAMORA";"980517176";"";"";"";"";"";"32";"";"";"Si";
"24/000013";"Cafetería";"2ª - 1 Taza";"AZTECA";"AVDA. CONSTITUCION, 41";"24850";"León";"Boñar";"BOÑAR";"BOÑAR";"987735668";"";"";"";"";"";"44";"";"";"";
"24/000162";"Cafetería";"2ª - 1 Taza";"AZUL";"QUEVEDO, AVENIDA, 8";"24009";"León";"León";"LEON";"LEON";"987221028";"";"";"";"";"";"40";"";"";"";
"24/000082";"Cafetería";"2ª - 1 Taza";"BABIA";"GLORIETA CARLOS PINILLA, 1";"24010";"León";"León";"LEON";"LEON";"648454151";"";"";"";"";"";"71";"";"";"";
"47/000040";"Cafetería";"2ª - 1 Taza";"BAHAMAS";"NICOLAS SALMERON 11";"47004";"Valladolid";"Valladolid";"VALLADOLID";"VALLADOLID";"983208515";"";"";"";"";"";"23";"";"";"";
"37/000139";"Cafetería";"2ª - 1 Taza";"BAMBU";"PRIOR Nº 4";"37002";"Salamanca";"Salamanca";"SALAMANCA";"SALAMANCA";"260092";"";"";"";"";"";"44";"";"";"";
"24/000063";"Cafetería";"2ª - 1 Taza";"BARDAL";"CTRA. MADRID-CORUÑA, KM. 331";"24714";"León";"Brazuelo";"PRADORREY";"";"987606555";"";"";"";"";"";"64";"";"";"";
"05/000012";"Cafetería";"2ª - 1 Taza";"LA BARRACA";"SAN JUAN DE LA CRUZ, 23";"05001";"Ávila";"Ávila";"AVILA";"";"920228526";"";"";"";"";"";"68";"";"";"";
"37/000004";"Cafetería";"2ª - 1 Taza";"BAVIERA";"PLAZA GONZALEZ SANTANA, 2";"37001";"Salamanca";"Salamanca";"SALAMANCA";"SALAMANCA";"219018";"";"";"";"";"";"122";"";"";"";
"40/000012";"Cafetería";"2ª - 1 Taza";"LA BELLE EPOQUE";"Plaza CORREDERA  1";"40400";"Segovia";"Espinar (El)";"ESPINAR (EL)";"ESPINAR (EL)";"921182116";"609125153";"";"JAVIERTABARESGAGO@GMAIL.COM";"";"";"116";"";"";"Si";
"24/000220";"Cafetería";"2ª - 1 Taza";"EL CIFU";"MOISES DE LEON, BL. 20 - POL. X";"24006";"León";"León";"LEON";"LEON";"987179591";"";"";"";"";"";"38";"";"";"";
"37/000008";"Cafetería";"2ª - 1 Taza";"BENIDORM";"CTRA. ALDEALENGUA, KM. 4";"37193";"Salamanca";"Cabrerizos";"CABRERIZOS";"CABRERIZOS";"289143";"";"";"";"";"";"110";"";"";"";
"37/000056";"Cafetería";"1ª - 2 Tazas";"BERYSA";"MAYOR, PZA., 26";"37002";"Salamanca";"Salamanca";"SALAMANCA";"";"215244";"";"";"";"";"";"85";"";"";"";
"24/000105";"Cafetería";"2ª - 1 Taza";"BIANCO";"BURGO NUEVO, 18";"24001";"León";"León";"LEON";"LEON";"987250525";"";"";"";"";"";"50";"";"";"";
"24/000084";"Cafetería";"2ª - 1 Taza";"EL BIERZO";"VILLAMARTIN DE LA ABADIA";"24550";"León";"Carracedelo";"VILLAMARTIN DE LA ABADIA";"VILLAMARTIN DE LA ABADIA";"987546700";"";"";"";"";"";"67";"";"";"";
"37/000085";"Cafetería";"2ª - 1 Taza";"BIG BEN";"ALVARO GIL, 27-31";"37006";"Salamanca";"Salamanca";"SALAMANCA";"";"254942";"";"";"";"";"";"86";"";"";"";
"24/000224";"Cafetería";"2ª - 1 Taza";"BINGOSOL";"PASEO, 7";"24400";"León";"Ponferrada";"PONFERRADA";"PONFERRADA";"987419556";"";"";"";"";"";"70";"";"";"";
"37/000043";"Cafetería";"2ª - 1 Taza";"TAJMAJAL";"SAN ANTONIO, PASEO, 3";"37003";"Salamanca";"Salamanca";"SALAMANCA";"SALAMANCA";"0000000";"";"";"";"";"";"50";"";"";"";
"24/000070";"Cafetería";"2ª - 1 Taza";"BOULEVARD";"PASEO CONDESA DE SAGASTA, 18";"24001";"León";"León";"LEON";"LEON";"987226109";"";"";"";"";"";"86";"";"";"";
"24/000286";"Cafetería";"2ª - 1 Taza";"BOULEVARD";"AVDA. DEL BIERZO, 8";"24300";"León";"Bembibre";"BEMBIBRE";"BEMBIBRE";"987511392";"";"";"";"";"";"46";"";"";"";
"24/000130";"Cafetería";"2ª - 1 Taza";"BRASIL";"GENERAL SANJURJO,9 (COMPL. STO.DOM)";"24001";"León";"León";"LEON";"LEON";"987237909";"";"";"";"";"";"35";"";"";"";
"24/000219";"Cafetería";"2ª - 1 Taza";"BURBIA";"CAMPING BURBIA";"24430";"León";"Vega de Espinareda";"VEGA DE ESPINAREDA";"VEGA DE ESPINAREDA";"987566027";"";"";"";"";"";"52";"";"";"";
"47/000047";"Cafetería";"2ª - 1 Taza";"DULCE BOCADO";"Avenida RAMON Y CAJAL 8";"47003";"Valladolid";"Valladolid";"VALLADOLID";"VALLADOLID";"983253993";"";"";"ranciscojsperez86@gmail.com";"";"";"65";"";"";"";
"34/000040";"Cafetería";"2ª - 1 Taza";"BURGER-CHIP'S";"LORENZO RAMIREZ, 1";"34800";"Palencia";"Aguilar de Campoo";"AGUILAR DE CAMPOO";"";"979125405";"";"";"";"";"";"33";"";"";"";
"37/000111";"Cafetería";"2ª - 1 Taza";"BURGO";"ITALIA, AVENIDA, 59";"37007";"Salamanca";"Salamanca";"SALAMANCA";"SALAMANCA";"259793";"";"";"";"";"";"55";"";"";"";
"37/000178";"Cafetería";"2ª - 1 Taza";"BURGUER SUYMA";"LIBERTAD,73";"37700";"Salamanca";"Béjar";"BEJAR";"BEJAR";"411497";"";"";"";"";"";"70";"";"";"";
"47/000013";"Cafetería";"2ª - 1 Taza";"BUS-STOP";"Calle PUENTE COLGANTE 2";"47007";"Valladolid";"Valladolid";"VALLADOLID";"VALLADOLID";"983224443";"";"";"";"";"";"400";"";"";"";
"47/000052";"Cafetería";"2ª - 1 Taza";"CACTUS";"TOREROS 1";"47007";"Valladolid";"Valladolid";"VALLADOLID";"VALLADOLID";"983473644";"";"";"";"";"";"26";"";"";"";
"24/000115";"Cafetería";"2ª - 1 Taza";"CADILLAC";"Calle LOPEZ DE FENAR 19";"24003";"León";"León";"LEON";"LEON";"636864221";"";"";"";"";"";"55";"";"";"";
"42/000057";"Cafetería";"1ª - 2 Tazas";"CADOSA";"Carretera ZARAGOZA 146";"42004";"Soria";"Soria";"SORIA";"SORIA";"975213143";"660439669";"";"administracion@hotelcadosa.es";"";"";"158";"";"";"";
"37/000168";"Cafetería";"2ª - 1 Taza";"CAFE DIBANGO";"Calle CORREHUELA 13  BJº";"37001";"Salamanca";"Salamanca";"SALAMANCA";"SALAMANCA";"923064270";"611131844";"";"CAFEDIBANGO@GMAIL.COM";"";"";"50";"";"";"";
"37/000122";"Cafetería";"2ª - 1 Taza";"CAFE LA PLATEA";"CORRILLO, PZA., 17";"37002";"Salamanca";"Salamanca";"SALAMANCA";"";"219399";"";"";"";"";"";"60";"";"";"";
"37/000140";"Cafetería";"2ª - 1 Taza";"CAFE NOVELTY";"Plaza PLAZA MAYOR, 2";"37002";"Salamanca";"Salamanca";"SALAMANCA";"SALAMANCA";"219990";"";"";"";"";"";"95";"";"";"";
"24/000214";"Cafetería";"2ª - 1 Taza";"CALLE ANCHA";"Calle CALLE ANCHA, 11";"24003";"León";"León";"LEON";"LEON";"987210183";"";"";"";"";"";"80";"";"";"";
"37/000183";"Cafetería";"2ª - 1 Taza";"LAS CAMPANAS";"C/ RUA ANTIGUA, 7";"37002";"Salamanca";"Salamanca";"SALAMANCA";"SALAMANCA";"923271032";"";"";"";"";"";"40";"";"";"";
"24/000256";"Cafetería";"2ª - 1 Taza";"CAMPO";"CARRETERA DE CAIN S/N";"24915";"León";"Posada de Valdeón";"POSADA DE VALDEON";"POSADA DE VALDEON";"987740502";"";"";"";"";"";"21";"";"";"";
"24/000276";"Cafetería";"2ª - 1 Taza";"CANI";"TRUCHILLAS, 12";"24010";"León";"León";"LEON";"LEON";"987270006";"";"";"";"";"";"50";"";"";"";
"24/000018";"Cafetería";"2ª - 1 Taza";"CANTABRICO";"PZA. ESPAÑA, 3";"24800";"León";"Cistierna";"CISTIERNA";"";"987700424";"";"";"";"";"";"48";"";"";"";
"37/000170";"Cafetería";"2ª - 1 Taza";"MARIO";"C/ OBISPO JARRIN, 14";"37001";"Salamanca";"Salamanca";"SALAMANCA";"SALAMANCA";"665527337";"";"";"";"";"";"50";"";"";"";
"24/000258";"Cafetería";"2ª - 1 Taza";"EL PATIO";"C/GARCIA PRIETO, 7";"24700";"León";"Astorga";"ASTORGA";"ASTORGA";"657898553";"";"";"";"";"";"72";"";"";"";
"24/000134";"Cafetería";"2ª - 1 Taza";"CARISMA";"NUEVE DE FEBRERO, S/N";"24005";"León";"León";"LEON";"LEON";"987212470";"";"";"";"";"";"65";"";"";"";
"37/000046";"Cafetería";"2ª - 1 Taza";"CARLOS III";"RODRIGUEZ FABRES, 2";"37005";"Salamanca";"Salamanca";"SALAMANCA";"SALAMANCA";"699031018";"";"";"";"";"";"70";"";"";"";
"37/000113";"Cafetería";"2ª - 1 Taza";"CAROL'S";"CRISTO DE LOS MILAGROS, 8";"37001";"Salamanca";"Salamanca";"SALAMANCA";"SALAMANCA";"260810";"";"";"";"";"";"20";"";"";"";
"34/000038";"Cafetería / Bar";"2ª - 1 Taza";"CARRION";"ESTEBAN COLLANTES, 10";"34120";"Palencia";"Carrión de los Condes";"CARRION DE LOS CONDES";"CARRION DE LOS CONDES";"675923702";"";"";"";"";"";"54";"";"";"Si";
"42/000031";"Cafetería";"2ª - 1 Taza";"CASCANTE";"SAN FRANCISCO, PASEO, 2";"42003";"Soria";"Soria";"SORIA";"";"975220930";"";"";"";"";"";"48";"";"";"";
"37/000129";"Cafetería";"2ª - 1 Taza";"CASINO";"CONCEJO, 8";"37002";"Salamanca";"Salamanca";"SALAMANCA";"";"267063";"";"";"";"";"";"91";"";"";"";
"47/000023";"Cafetería";"2ª - 1 Taza";"CASTELLANA";"CTRA. TUDELA-VILORIA, 7";"47320";"Valladolid";"Montemayor de Pililla";"MONTEMAYOR DE PILILLA";"";"";"";"";"";"";"";"80";"";"";"";
"37/000037";"Cafetería";"2ª - 1 Taza";"CASTELLANO";"PORTUGAL, AVENIDA, 29";"37004";"Salamanca";"Salamanca";"SALAMANCA";"";"227021";"";"";"";"";"";"57";"";"";"";
"37/000087";"Cafetería";"2ª - 1 Taza";"CASTELLANO III";"SAN FRANCISCO JAVIER, PZA.,2-4";"37003";"Salamanca";"Salamanca";"SALAMANCA";"";"266740";"";"";"";"";"";"80";"";"";"";
"05/000011";"Cafetería";"2ª - 1 Taza";"CASTILLA";"Paseo DE LA ESTACION 32";"05001";"Ávila";"Ávila";"AVILA";"AVILA";"650857888";"";"";"";"";"";"43";"";"";"";
"47/000140";"Cafetería";"2ª - 1 Taza";"CATEDRAL";"NUÑEZ DE ARCE 11";"47002";"Valladolid";"Valladolid";"VALLADOLID";"VALLADOLID";"983298811";"";"";"";"";"";"36";"";"";"";
"47/000093";"Cafetería";"2ª - 1 Taza";"CENTRAL";"UNIVERSIDAD, PLAZA, 7";"47003";"Valladolid";"Valladolid";"VALLADOLID";"VALLADOLID";"983294480";"";"";"";"";"";"24";"";"";"";
"47/000117";"Cafetería";"2ª - 1 Taza";"CENTRO MADRID";"ARCO DE LADRILLO, PASEO, EDIF.A LOCAL 28";"47008";"Valladolid";"Valladolid";"VALLADOLID";"VALLADOLID";"983236795";"983307234";"";"";"";"";"20";"";"";"";
"47/000086";"Cafetería";"2ª - 1 Taza";"EL CERRO";"PIRITA, PARCELA 184";"47012";"Valladolid";"Valladolid";"VALLADOLID";"VALLADOLID";"983397969";"";"";"";"";"";"50";"";"";"";
"37/000137";"Cafetería";"2ª - 1 Taza";"CHARLIE COMEDY SNACK BAR";"CERVANTES, PASEO DE, 4";"37700";"Salamanca";"Béjar";"BEJAR";"BEJAR";"649938271";"";"";"info@charliecomedy.com";"www.charliecomedy.com";"";"73";"";"";"";
"47/000073";"Cafetería / Bar";"2ª - 1 Taza";"LA GOBIERNA";"Calle CERVANTES 22";"47005";"Valladolid";"Valladolid";"VALLADOLID";"VALLADOLID";"687419258";"";"";"barlagobierna@gmail.com";"";"";"51";"";"";"";
"05/000033";"Cafetería";"2ª - 1 Taza";"CESAR";"Carretera MADRID-CORUÑA, KM. 112";"05296";"Ávila";"Adanero";"ADANERO";"ADANERO";"920307137";"";"";"";"";"";"20";"";"";"";
"47/000109";"Cafetería";"2ª - 1 Taza";"CINES MANTERIA";"MANTERIA 34";"47004";"Valladolid";"Valladolid";"VALLADOLID";"VALLADOLID";"983201215";"";"";"";"";"";"24";"";"";"";
"24/000206";"Cafetería";"2ª - 1 Taza";"EL CISNE";"C/ BORDADORES, 36";"24006";"León";"León";"LEON";"LEON";"987208766";"";"";"";"";"";"66";"";"";"";
"37/000102";"Cafetería";"2ª - 1 Taza";"CLASSIC";"RODRIGUEZ FABRES, 6";"37005";"Salamanca";"Salamanca";"SALAMANCA";"SALAMANCA";"211285";"";"";"";"";"";"35";"";"";"";
"47/000034";"Cafetería";"2ª - 1 Taza";"CONCORDE";"GONDOMAR 14";"47011";"Valladolid";"Valladolid";"VALLADOLID";"VALLADOLID";"983250448";"";"";"";"";"";"60";"";"";"";
"37/000096";"Cafetería";"2ª - 1 Taza";"CONDAL";"PZA. SANTA EULALIA, 3-5";"37002";"Salamanca";"Salamanca";"SALAMANCA";"SALAMANCA";"923260356";"";"";"";"";"";"36";"";"";"";
"24/000006";"Cafetería";"1ª - 2 Tazas";"CONDE LUNA";"Calle INDEPENDENCIA 7";"24003";"León";"León";"LEON";"LEON";"987206512";"";"";"";"";"";"109";"";"";"";
"24/000015";"Cafetería";"2ª - 1 Taza";"CONDE SILVA";"AVDA. ASTORGA, 2";"24400";"León";"Ponferrada";"PONFERRADA";"PONFERRADA";"987410407";"";"";"";"";"";"28";"";"";"";
"37/000177";"Cafetería";"1ª - 2 Tazas";"CAFE ATELIER";"Calle SERRANOS 33";"37008";"Salamanca";"Salamanca";"SALAMANCA";"SALAMANCA";"635395869";"";"";"";"";"";"";"";"";"";
"37/000152";"Cafetería";"2ª - 1 Taza";"CORDON BLEU";"DOCTRINOS,8-BAJO";"37002";"Salamanca";"Salamanca";"SALAMANCA";"";"";"";"";"";"";"";"38";"";"";"";
"24/000072";"Cafetería";"2ª - 1 Taza";"LA CORONA";"PZA. MAYOR, 6";"24300";"León";"Bembibre";"BEMBIBRE";"BEMBIBRE";"987511709";"";"";"";"";"";"110";"";"";"";
"24/000240";"Cafetería";"1ª - 2 Tazas";"EL CORTE INGLES";"FRAY LUIS DE LEON 21 (ED.CORTE I.)";"24005";"León";"León";"LEON";"LEON";"987263100";"";"";"";"";"";"299";"";"";"";
"47/000131";"Cafetería";"1ª - 2 Tazas";"EL CORTE INGLES,S.A.";"CONSTITUCION 2";"47001";"Valladolid";"Valladolid";"VALLADOLID";"VALLADOLID";"983231500";"";"";"";"";"";"150";"";"";"";
"24/000221";"Cafetería";"2ª - 1 Taza";"CORUÑA";"AVDA. PONFERRADA, 4";"24700";"León";"Astorga";"ASTORGA";"ASTORGA";"987619462";"";"";"";"";"";"48";"";"";"";
"24/000200";"Cafetería";"1ª - 2 Tazas";"CAMPING LA COTA";"CTRA. LA VECILLA - VALDELUGUEROS, KM. 19";"24847";"León";"Valdepiélago";"MATA DE BERBULA (LA)";"MATA DE BERBULA (LA)";"987741091";"670461653";"";"";"";"";"62";"";"";"";
"47/000030";"Cafetería";"2ª - 1 Taza";"TERCER TIEMPO";"Calle JOAQUIN VELASCO MARTIN 9";"47014";"Valladolid";"Valladolid";"VALLADOLID";"VALLADOLID";"983341023";"";"";"";"";"";"102";"";"";"Si";
"37/000038";"Cafetería";"2ª - 1 Taza";"CUATRO CALZADAS";"CTRA. GIJON-SEVILLA, KM. 17";"37893";"Salamanca";"Martinamor";"MARTINAMOR";"";"308236";"";"";"";"";"";"98";"";"";"";
"47/000127";"Cafetería";"2ª - 1 Taza";"CHIQUITO";"HERNANDO DE ACUÑA 30-36";"47000";"Valladolid";"Valladolid";"VALLADOLID";"VALLADOLID";"983378236";"";"";"";"";"";"24";"";"";"";
"37/000135";"Cafetería";"2ª - 1 Taza";"CHOCOVANK";"VAN DICK, 77";"37005";"Salamanca";"Salamanca";"SALAMANCA";"SALAMANCA";"224208";"";"";"";"";"";"44";"";"";"";
"40/000007";"Cafetería";"2ª - 1 Taza";"LA PICAÑA";"Avenida ACUEDUCTO 24";"40002";"Segovia";"Segovia";"SEGOVIA";"SEGOVIA";"660015820";"";"";"VICTORHUGO5129@HOTMAIL.COM";"";"";"22";"";"";"";
"47/000002";"Cafetería";"1ª - 2 Tazas";"DAKOTA";"DIVINA PASTORA 4";"47004";"Valladolid";"Valladolid";"VALLADOLID";"VALLADOLID";"983225780";"";"";"";"";"";"104";"";"";"";
"37/000156";"Cafetería";"2ª - 1 Taza";"DALLAS II";"ALFONSO DE CASTRO,10";"37005";"Salamanca";"Salamanca";"SALAMANCA";"SALAMANCA";"250798";"";"";"";"";"";"40";"";"";"";
"47/000076";"Cafetería";"2ª - 1 Taza";"EL DECANO";"UNIVERSIDAD, PLAZA, 7";"47003";"Valladolid";"Valladolid";"VALLADOLID";"VALLADOLID";"983293461";"";"";"";"";"";"40";"";"";"";
"37/000050";"Cafetería";"2ª - 1 Taza";"DEL CAMPO";"PUENTES RIO ALAGON";"37658";"Salamanca";"Garcibuey";"GARCIBUEY";"GARCIBUEY";"";"";"";"";"";"";"49";"";"";"";
"47/000081";"Cafetería";"2ª - 1 Taza";"DIOLA";"PUENTE COLGANTE 43";"47007";"Valladolid";"Valladolid";"VALLADOLID";"VALLADOLID";"665120925";"";"";"javiermunozrueda@gmail.com";"";"";"50";"";"";"";
"47/000124";"Cafetería";"2ª - 1 Taza";"KING DONER KEBAB";"AVDª LOPE DE VEGA, 32";"47400";"Valladolid";"Medina del Campo";"MEDINA DEL CAMPO";"MEDINA DEL CAMPO";"620306076";"";"";"zebiking@hotmail.com";"";"";"70";"";"";"";
"49/000017";"Cafetería / Bar";"2ª - 1 Taza";"DOLFOS";"SANTA CLARA, 26";"49014";"Zamora";"Zamora";"ZAMORA";"ZAMORA";"980031511";"";"";"";"";"";"78";"";"";"";
"47/000077";"Cafetería / Bar";"2ª - 1 Taza";"TARAMUNDI";"Calle EMBAJADORES 16";"47013";"Valladolid";"Valladolid";"VALLADOLID";"VALLADOLID";"983314500";"983301551";"676709163";"resa.oficina@gmail.com";"";"";"100";"";"";"";
"24/000116";"Cafetería";"2ª - 1 Taza";"DON CORLEONE";"Calle COVADONGA 8";"24004";"León";"León";"LEON";"LEON";"987231211";"";"";"";"";"";"42";"";"";"";
"47/000054";"Cafetería";"3ª - 3 Tazas";"DON FELIPE";"Calle GAMAZO 16";"47004";"Valladolid";"Valladolid";"VALLADOLID";"VALLADOLID";"983227735";"";"";"";"";"";"28";"";"";"";
"42/000060";"Cafetería";"1ª - 2 Tazas";"DOÑA REMEDIOS";"MAYOR, 2";"42300";"Soria";"Burgo de Osma-Ciudad de Osma";"BURGO DE OSMA (EL)";"";"975341311";"";"";"";"";"";"80";"";"";"";
