"N.Registro";"Especialidades";"Nombre";"Dirección";"C.Postal";"Provincia";"Municipio";"Localidad";"Nucleo";"Teléfono 1";"Teléfono 2";"Teléfono 3";"Email";"web";"Q Calidad";"Plazas";"GPS.Longitud";"GPS.Latitud";"accesible a personas con discapacidad";
"09/004344";"";"LA PAUSA";"CTRA/POZA, 89";"09007";"Burgos";"Burgos";"BURGOS";"BURGOS";"947 481846";"";"";"";"";"";"22";"";"";"Si";
"09/004345";"";"TIBER";"Calle Rosa Chacel 7";"09007";"Burgos";"Burgos";"BURGOS";"BURGOS";"605419497";"";"";"";"";"";"24";"";"";"Si";
"37/000567";"";"ESTANCO";"PLAZA IGLESIA,2";"37006";"Salamanca";"Salamanca";"SALAMANCA";"";"923/246150";"";"";"";"";"";"";"";"";"";
"09/000107";"";"DISCOTECA 290";"CTRA. MADRID-IRUN, KM. 290";"09244";"Burgos";"Fuentebureba";"FUENTEBUREBA";"FUENTEBUREBA";"09244";"";"";"";"";"";"8";"";"";"";
"09/000252";"";"CACHITO'S";"CL/FRANCISCO GRANDMONTAGNE, 7";"09007";"Burgos";"Burgos";"BURGOS";"BURGOS";"625435929";"";"";"cuesta68@hotmail.com";"";"";"18";"";"";"";
"09/000267";"";"LA ALTEZA";"CL/LAS TAHONAS, 6";"09003";"Burgos";"Burgos";"BURGOS";"BURGOS";"947209357";"";"";"";"";"";"43";"";"";"";
"09/000462";"";"BODEGA LAVADEROS";"PZA/LAVADEROS, 8";"09007";"Burgos";"Burgos";"BURGOS";"BURGOS";"947214550";"";"";"";"";"";"";"";"";"";
"09/000463";"";"C.D. MICHELIN";"CTRA/ SORIA, S/N";"09400";"Burgos";"Aranda de Duero";"ARANDA DE DUERO";"*DISEMINADO*";"687895039";"";"";"";"";"";"33";"";"";"Si";
"37/002726";"";"LA AMISTAD";"LA CARCEL, 17";"37408";"Salamanca";"Zorita de la Frontera";"ZORITA DE LA FRONTERA";"ZORITA DE LA FRONTERA";"690753466";"";"";"";"";"";"";"";"";"";
"24/004692";"";"LA CALZADA";"AVDA. DE LA CALZADA, S/N";"24319";"León";"Igüeña";"QUINTANA DE FUSEROS";"";"";"";"";"";"";"";"";"";"";"";
"09/000464";"";"EL PORTILLO";"AVDA. REYES CATOLICOS, Nº 40";"09005";"Burgos";"Burgos";"BURGOS";"";"";"";"";"";"";"";"";"";"";"";
"37/001531";"";"SOL";"CARVAJALA, 4";"37230";"Salamanca";"Hinojosa de Duero";"HINOJOSA DE DUERO";"";"923/515110";"";"";"";"";"";"";"";"";"";
"09/000469";"";"FITI'S BAR";"CL/ALFONSO X EL SABIO, 50";"09005";"Burgos";"Burgos";"BURGOS";"BURGOS";"625619548";"";"";"";"";"";"30";"";"";"Si";
"09/000483";"";"ESCALADA";"CTRA/N-623.BURGOS-SANTANDER, KM. 59,700";"09145";"Burgos";"Valle de Sedano";"ESCALADA";"ESCALADA";"947150211";"689569032";"";"";"";"";"28";"";"";"";
"09/000492";"";"YUSTY, LA PERA LIMONERA";"CL/FARMACÉUTICO OBDULIO FERNÁNDEZ, 38";"09006";"Burgos";"Burgos";"BURGOS";"BURGOS";"685808369";"";"";"";"";"";"16";"";"";"";
"09/000499";"";"SAN REMO";"C/ SORIA, S/N";"09004";"Burgos";"Burgos";"BURGOS";"";"";"";"";"";"";"";"";"";"";"";
"09/000505";"";"LAS CALLEJAS";"C/ CALLEJAS, S/N";"09350";"Burgos";"Terradillos de Esgueva";"TERRADILLOS DE ESGUEVA";"TERRADILLOS DE ESGUEVA";"";"";"";"";"";"";"";"";"";"";
"09/000508";"";"BLUE MOON";"Calle Doña Constanza 3";"09007";"Burgos";"Burgos";"BURGOS";"BURGOS";"643770282";"";"";"";"";"";"18";"";"";"Si";
"09/000529";"";"BODEGAS OBREGON";"CL/COMPOSTELA, S/N";"09007";"Burgos";"Burgos";"BURGOS";"BURGOS";"947221043";"";"";"";"";"";"18";"";"";"";
"09/000546";"";"PEÑA";"C/ BURGOS, 13";"09142";"Burgos";"Valle de Sedano";"SEDANO";"";"";"";"";"";"";"";"";"";"";"";
"09/000579";"";"OZONO";"C/ RIO EBRO, Nº 19";"09200";"Burgos";"Miranda de Ebro";"MIRANDA DE EBRO";"";"";"";"";"";"";"";"";"";"";"";
"09/000580";"";"LUIS";"CTRA. LOGROÑO-VIGO, 14";"09131";"Burgos";"Quintanillas (Las)";"QUINTANILLAS (LAS)";"QUINTANILLAS (LAS)";"947450171";"";"";"";"";"";"24";"";"";"Si";
"09/000589";"";"NELA";"Calle Manuel Laredo, 4";"09550";"Burgos";"Villarcayo de Merindad de Castilla la Vieja";"VILLARCAYO";"VILLARCAYO";"603704204";"";"";"";"";"";"14";"";"";"Si";
"09/000599";"";"TABERNA BAR ALPHA EVOLUTION";"Calle Alfareros 14";"09001";"Burgos";"Burgos";"BURGOS";"BURGOS";"665889875";"";"";"";"";"";"30";"";"";"";
"09/000609";"";"ALAMEDA";"CL/HUELVA, 4";"09007";"Burgos";"Burgos";"BURGOS";"BURGOS";"646588633";"";"";"";"";"";"19";"";"";"";
"09/000613";"";"LA OROTAVA";"C/ PEDRO SANZ ABAD, Nº 1";"09400";"Burgos";"Aranda de Duero";"ARANDA DE DUERO";"";"";"";"";"";"";"";"";"";"";"";
"09/000614";"";"LA RIOJANA";"PZA/ALONSO MARTINEZ,  9";"09003";"Burgos";"Burgos";"BURGOS";"BURGOS";"947260719";"";"";"";"";"";"32";"";"";"";
"09/000615";"";"HOGAR VIRGEN DE LAS VIÑAS";"C/ SAN JUAN, Nº 1";"09400";"Burgos";"Aranda de Duero";"ARANDA DE DUERO";"";"";"";"";"";"";"";"";"";"";"";
"40/001482";"";"LEMON";"ARROYADA, 1";"40212";"Segovia";"San Cristóbal de Cuéllar";"SAN CRISTOBAL DE CUELLAR";"SAN CRISTOBAL DE CUELLAR";"000000000";"";"";"";"";"";"";"";"";"";
"37/004608";"";"EL COLONIAL";"ZAMORA, 66";"37002";"Salamanca";"Salamanca";"SALAMANCA";"SALAMANCA";"672092971";"";"";"";"";"";"65";"";"";"Si";
"47/001193";"";"MAVERICK";"REAL, 23";"47155";"Valladolid";"Santovenia de Pisuerga";"SANTOVENIA DE PISUERGA";"SANTOVENIA DE PISUERGA";"690730039";"";"";"maverickcafebar@gmail.com";"";"";"";"";"";"";
"37/002298";"";"ROBEL";"LA HERRERIA,7";"37881";"Salamanca";"Valdecarros";"VALDECARROS";"";"923/383068";"";"";"";"";"";"";"";"";"";
"34/001322";"";"CANELA EN RAMA";"C/ FELIPE PRIETO Nº 8";"34001";"Palencia";"Palencia";"PALENCIA";"PALENCIA";"607444235";"";"";"siripas15@hotmail.com";"";"";"";"";"";"Si";
"09/000656";"";"INCARSA";"C/ MONTES OBARENES, S/N";"09001";"Burgos";"Burgos";"BURGOS";"";"";"";"";"";"";"";"";"";"";"";
"09/000658";"";"MODERNO";"CL/ZAPATERIA, Nº 4";"09370";"Burgos";"Gumiel de Izán";"GUMIEL DE IZAN";"GUMIEL DE IZAN";"676816114";"";"";"";"";"";"27";"";"";"";
"09/000662";"";"L'ENFER";"PZA/ROMA, Nº 6";"09007";"Burgos";"Burgos";"BURGOS";"BURGOS";"661175317";"";"";"";"";"";"6";"";"";"Si";
"09/000677";"";"LA BIBLIOTECA";"PEDRO ALFARO, Nº 8";"09007";"Burgos";"Burgos";"BURGOS";"BURGOS";"947482518";"";"";"";"";"";"";"";"";"";
"42/000090";"";"RODEO";"ROTA DE CALATAÑAZOR, 23";"42002";"Soria";"Soria";"SORIA";"";"";"";"";"";"";"";"";"";"";"";
"09/000678";"";"FAN CLUB";"CL/ FERNÁN GONZÁLEZ, Nº 14";"09003";"Burgos";"Burgos";"BURGOS";"BURGOS";"000000000";"";"";"";"";"";"6";"";"";"";
"09/000679";"";"FRANCISCO JAVIER VARONA";"";"09559";"Burgos";"Merindad de Valdivielso";"VALDENOCEDA";"";"";"";"";"";"";"";"";"";"";"";
"09/000683";"";"BAR DE ARRIBA";"CL/TRAVESIA SANTO CRISTO, 4";"09450";"Burgos";"Baños de Valdearados";"BAÑOS DE VALDEARADOS";"BAÑOS DE VALDEARADOS";"622565970";"";"";"";"";"";"28";"";"";"";
"09/000689";"";"VICENT";"C/ REAL, Nº 31";"09370";"Burgos";"Gumiel de Izán";"GUMIEL DE IZAN";"GUMIEL DE IZAN";"947544002";"";"";"";"";"";"";"";"";"";
"09/000697";"";"EL FOGON";"ERAS DE SAN JUAN, Nº 26";"09200";"Burgos";"Miranda de Ebro";"MIRANDA DE EBRO";"";"";"";"";"";"";"";"";"";"";"";
"09/000698";"";"LOS CARACOLES";"Calle Las Boticas, 1";"09400";"Burgos";"Aranda de Duero";"ARANDA DE DUERO";"ARANDA DE DUERO";"626969226";"";"";"sanvelarauzo@gmail.com";"";"";"40";"";"";"Si";
"09/000701";"";"EL SOL";"";"09130";"Burgos";"Isar";"PALACIOS DE BENAVER";"";"";"";"";"";"";"";"";"";"";"";
"24/007544";"";"SPECIAL";"C/ SAN JUAN DE SAHAGÚN, 12";"24007";"León";"León";"LEON";"LEON";"649724007";"";"";"";"";"";"30";"";"";"";
"09/000708";"";"SAN PEDRO";"Plaza San Pedro, 11";"09443";"Burgos";"Gumiel de Mercado";"GUMIEL DE MERCADO";"GUMIEL DE MERCADO";"642728241";"";"";"dimitru71959@gmail.com";"";"";"32";"";"";"Si";
"09/000721";"";"LA VIÑA";"Calle San Francisco 45";"09400";"Burgos";"Aranda de Duero";"ARANDA DE DUERO";"ARANDA DE DUERO";"601723277";"";"";"";"";"";"22";"";"";"Si";
"09/000722";"";"HERRERO";"AVDA. CASTILLA, 19";"09460";"Burgos";"Milagros";"MILAGROS";"";"";"";"";"";"";"";"";"";"";"";
"34/001987";"";"FLANDES";"PASAJE SAN FRANCISCO (VALENTÍN CALERÓN 10)";"34002";"Palencia";"Palencia";"PALENCIA";"PALENCIA";"979700708";"";"";"";"";"";"65";"";"";"";
"47/001278";"";"SANKORA";"Calle PORTILLO DEL PRADO 17";"47011";"Valladolid";"Valladolid";"VALLADOLID";"VALLADOLID";"983373706";"";"";"";"";"";"";"";"";"";
"09/000725";"";"RIA AROSA TABERNA GALLEGA";"Plaza DE SANTIAGO 1";"09007";"Burgos";"Burgos";"BURGOS";"BURGOS";"947094494";"609063383";"";"franquicia@tabernagallegaburgos.es";"www.tabernagallegaburgos.es";"";"64";"";"";"Si";
"09/000733";"";"EL CHISPA";"CL/SAN ROQUE,51";"09391";"Burgos";"Castrillo de la Vega";"CASTRILLO DE LA VEGA";"CASTRILLO DE LA VEGA";"947-536029";"";"";"barchispa@hotmail.com";"";"";"41";"";"";"";
"09/000741";"";"EL CRUCE";"SAN FRANCISCO, Nº 21";"09400";"Burgos";"Aranda de Duero";"ARANDA DE DUERO";"";"09400";"";"";"";"";"";"";"";"";"";
"34/001509";"";"SOL";"C/ MANCORNADOR 16";"34001";"Palencia";"Palencia";"PALENCIA";"";"979741430";"";"";"";"";"";"";"";"";"";
"34/000276";"";"NUEVO AVENIDA";"AV PALENCIA 1";"34200";"Palencia";"Venta de Baños";"VENTA DE BAÑOS";"VENTA DE BAÑOS";"600615693";"";"";"";"";"";"";"";"";"";
"24/005521";"";"EL ENGRASE";"C/ CORPUS CHRISTI, 58";"24010";"León";"San Andrés del Rabanedo";"SAN ANDRES DEL RABANEDO";"SAN ANDRES DEL RABANEDO";"652583666";"";"";"";"";"";"";"";"";"";
"47/004334";"";"CAFE MILANO";"CIGUEÑA, 16 - BAJO";"47012";"Valladolid";"Valladolid";"VALLADOLID";"VALLADOLID";"983305093";"650423536";"";"";"";"";"76";"";"";"";
"24/003461";"";"FLORO";"C/ SANTO DOMINGO, 31";"24420";"León";"Fabero";"FABERO";"";"";"";"";"";"";"";"";"";"";"";
"47/002611";"";"MOBY";"SAN JULIAN 2";"47410";"Valladolid";"Olmedo";"OLMEDO";"OLMEDO";"659174882";"";"";"";"";"";"";"";"";"";
"47/004333";"";"EL JARDÍN";"Calle CAAMAÑO 59";"47013";"Valladolid";"Valladolid";"VALLADOLID";"VALLADOLID";"634889816";"";"";"cafebarjardin2020@gmail.com";"";"";"51";"";"";"Si";
"34/002285";"";"RONDA";"LAS RONDAS, Nº 12";"34240";"Palencia";"Baltanás";"BALTANAS";"BALTANAS";"979790481";"";"";"";"";"";"";"";"";"";
"42/000220";"";"VINOS AGUILERA";"MAYOR, 5";"42300";"Soria";"Burgo de Osma-Ciudad de Osma";"BURGO DE OSMA (EL)";"";"975340156";"";"";"";"";"";"";"";"";"";
"34/000285";"";"ORENSE";"DAOIZ, Nº 7";"34200";"Palencia";"Venta de Baños";"VENTA DE BAÑOS";"VENTA DE BAÑOS";"979000000";"";"";"";"";"";"";"";"";"";
"24/007545";"";"MODEL";"MAESTRO NICOLÁS, 54";"24005";"León";"León";"LEON";"";"987214858";"";"";"";"";"";"97";"";"";"";
"24/002913";"";"DISCOTECA PARTENÓN";"C/ CUCHILLOS, 4";"24600";"León";"Valencia de Don Juan";"VALENCIA DE DON JUAN";"";"987/752505";"";"";"";"";"";"";"";"";"";
"37/001363";"";"BAR RAMOS";"Plaza MAYOR 5";"37523";"Salamanca";"Peñaparda";"PEÑAPARDA";"PEÑAPARDA";"923486291";"";"";"";"";"";"";"";"";"";
"37/000396";"";"LABRADOR";"LOS CEDROS, 18-BAJO";"37004";"Salamanca";"Salamanca";"SALAMANCA";"SALAMANCA";"";"";"";"";"";"";"";"";"";"";
"37/002589";"";"EL REGUERO";"AVDA., REYES CATOLICOS 6 BJ";"37300";"Salamanca";"Peñaranda de Bracamonte";"PEÑARANDA DE BRACAMONTE";"PEÑARANDA DE BRACAMONTE";"605.08.16.03";"";"";"";"";"";"";"";"";"";
"37/001039";"";"BAR SANTOS";"Calle JACINTO BENAVENTE 8";"37317";"Salamanca";"Campo de Peñaranda (El)";"CAMPO DE PEÑARANDA (EL)";"CAMPO DE PEÑARANDA (EL)";"619051856";"";"";"";"";"";"";"";"";"";
"34/002235";"";"LAGARTO-LAGARTO";"DAOIZ, Nº7";"34200";"Palencia";"Venta de Baños";"VENTA DE BAÑOS";"VENTA DE BAÑOS";"979000000";"";"";"";"";"";"";"";"";"";
"37/003441";"";"LA PAZ";"BOLIVIA Nº 10";"37003";"Salamanca";"Salamanca";"SALAMANCA";"SALAMANCA";"923/22.03.13";"";"";"";"";"";"";"";"";"";
"37/003017";"";"JORRETO";"AVDA. ESPAÑA NÚM. 73-1º";"37500";"Salamanca";"Ciudad Rodrigo";"CIUDAD RODRIGO";"";"923/48.08.44";"";"";"";"";"";"";"";"";"";
"24/007546";"";"LA HILA";"";"24996";"León";"Acebedo";"ACEBEDO";"";"987742274";"";"";"";"";"";"25";"";"";"";
"24/002870";"";"EL LIDER";"C/ LOS ARIAS, 4";"24220";"León";"Valderas";"VALDERAS";"VALDERAS";"679165920";"679165920";"";"";"";"";"";"";"";"";
"47/003328";"";"PUNTO Y COMA DOS VECES (cese del titular)";"SALVADOR, 5";"47130";"Valladolid";"Simancas";"SIMANCAS";"SIMANCAS";"607652795";"";"";"";"";"";"";"";"";"";
"05/003214";"";"LA PERDIZ BLANCA";"C/ MANUEL SANCHEZ SAUGAR, Nº 12";"05240";"Ávila";"Sotillo de la Adrada";"SOTILLO DE LA ADRADA";"";"918661037";"";"";"";"";"";"";"";"";"";
"05/003122";"";"LA CIGALA II";"PLAZA HERRADONES, Nº 5";"05220";"Ávila";"Madrigal de las Altas Torres";"MADRIGAL DE LAS ALTAS TORRES";"";"635930635";"";"";"";"";"";"";"";"";"";
"24/005217";"";"LA FACTORIA VEGANA";"Calle  FERNANDO III EL SANTO, 5";"24007";"León";"León";"LEON";"LEON";"699644563";"";"";"";"";"";"";"";"";"";
"47/001825";"";"FORAÑO";"Avenida VALLADOLID 8";"47100";"Valladolid";"Tordesillas";"TORDESILLAS";"TORDESILLAS";"983000000";"";"";"";"";"";"";"";"";"";
"24/007547";"";"CASA MARCOS";"C/ ALONSO CASTRILLO, 30";"24200";"León";"Valencia de Don Juan";"VALENCIA DE DON JUAN";"VALENCIA DE DON JUAN";"646661042";"";"";"";"";"";"23";"";"";"";
"47/003232";"";"ACUALQUIERHORA";"Calle ESTADIO 7";"47006";"Valladolid";"Valladolid";"VALLADOLID";"VALLADOLID";"615977010";"983857766";"";"acualquierhoravalladolid@gmail.com";"";"";"91";"";"";"";
"09/004321";"";"AMERICAN CAFÉ";"CL/PIZARRO,10";"09400";"Burgos";"Aranda de Duero";"ARANDA DE DUERO";"ARANDA DE DUERO";"651764144";"";"";"";"";"";"28";"";"";"";
"05/000909";"";"LA SINDICAL";"CARRETERA, 74";"05595";"Ávila";"Aldehuela (La)";"ALDEHUELA (LA)";"ALDEHUELA (LA)";"920344201";"0659416429";"";"";"";"";"";"";"";"";
"24/003012";"";"LA FONTANA";"AVDA. ASTURIAS, 63";"24200";"León";"Valencia de Don Juan";"VALENCIA DE DON JUAN";"";"677469177";"";"";"";"";"";"";"";"";"";
"24/005307";"";"DON MANUEL";"CTRA. VILLANUEVA, S/N";"24220";"León";"Valderas";"VALDERAS";"";"";"";"";"";"";"";"";"";"";"";
"34/000220";"";"SALDAÑA";"AVDA. REYES CATÓLICOS, 1";"34100";"Palencia";"Saldaña";"SALDAÑA";"SALDAÑA";"";"";"";"";"";"";"";"";"";"";
"34/001292";"";"TAMESIS";"AVDA. MANUEL RIVERA, 5";"34002";"Palencia";"Palencia";"PALENCIA";"PALENCIA";"979 730246";"";"";"";"";"";"";"";"";"";
"47/002835";"";"OFFICE BINGO FLORIDA";"FLORIDA 14";"47007";"Valladolid";"Valladolid";"VALLADOLID";"VALLADOLID";"983361046";"";"";"";"";"";"";"";"";"";
"47/002744";"";"DONDE JOSE";"SAN LÁZARO 19";"47009";"Valladolid";"Valladolid";"VALLADOLID";"VALLADOLID";"616387763";"";"";"info@gestycovalladolid.com";"";"";"";"";"";"";
"37/004609";"";"PETER`S";"GRAN VIA Nº 75-77";"37001";"Salamanca";"Salamanca";"SALAMANCA";"SALAMANCA";"923217200";"";"";"";"";"";"64";"";"";"";
"09/000742";"";"PERDIGUERO";"C/ NUÑO RASURA, 1";"09400";"Burgos";"Aranda de Duero";"ARANDA DE DUERO";"";"";"";"";"";"";"";"";"";"";"";
"09/000745";"";"EL BUSCON";"Avenida de la Paz 28";"09004";"Burgos";"Burgos";"BURGOS";"BURGOS";"642401550";"";"";"";"";"";"17";"";"";"";
"09/000751";"";"ACHA";"CL/MARTINEZ DEL CAMPO, 1";"09250";"Burgos";"Belorado";"BELORADO";"";"947580028";"";"";"";"";"";"39";"";"";"Si";
"09/000754";"";"LA PLAZA";"CL/LA CALLEJA,13";"09143";"Burgos";"Tubilla del Agua";"TUBILLA DEL AGUA";"TUBILLA DEL AGUA";"675090298";"";"";"";"";"";"26";"";"";"";
"09/000764";"";"MISSISSIPPI 2";"ANTIGUA CTRA. N-I, KM. 160,2";"09400";"Burgos";"Aranda de Duero";"ARANDA DE DUERO";"ARANDA DE DUERO";"";"";"";"";"";"";"";"";"";"";
"09/000778";"";"DON NUÑO";"CL/NUÑO RASURA, 6";"09550";"Burgos";"Villarcayo de Merindad de Castilla la Vieja";"VILLARCAYO";"";"947130201";"";"";"";"";"";"48";"";"";"Si";
"09/000779";"";"VINACOTECA PEDRO";"SANTO CRISTO, 1";"09400";"Burgos";"Aranda de Duero";"ARANDA DE DUERO";"";"";"";"";"";"";"";"";"";"";"";
"09/000780";"";"FLORIDA";"AVDA. GENERALISIMO, 6";"09250";"Burgos";"Belorado";"BELORADO";"";"";"";"";"";"";"";"";"";"";"";
"09/000784";"";"JANFRY";"PLAZA DEL AYUNTAMIENTO, 6";"09530";"Burgos";"Oña";"OÑA";"OÑA";"947300297";"615144167";"";"";"";"";"25";"";"";"";
"09/000786";"";"HAREM";"JOSEFINA ARIAS DE MIRANDA, 4";"09400";"Burgos";"Aranda de Duero";"ARANDA DE DUERO";"";"";"";"";"";"";"";"";"";"";"";
"09/000787";"";"LA ESQUINA";"CL/JUSTO CANTON SALAZAR, Nº 29";"09240";"Burgos";"Briviesca";"BRIVIESCA";"BRIVIESCA";"664366583";"";"";"";"";"";"";"";"";"";
"09/000794";"";"ECU";"CL/SANTA CLARA, 25";"09002";"Burgos";"Burgos";"BURGOS";"BURGOS";"652760092";"";"";"oscusaez@gmail.com";"";"";"12";"";"";"";
"09/000817";"";"TELEPIZZA";"CL/SAN COSME, 2";"09002";"Burgos";"Burgos";"BURGOS";"BURGOS";"947262434";"";"";"";"";"";"76";"";"";"";
"09/000820";"";"EL DESPISTE";"Paseo Comuneros de Castilla 15";"09006";"Burgos";"Burgos";"BURGOS";"BURGOS";"616118616";"";"";"";"";"";"26";"";"";"";
"09/000831";"";"EL RINCON DE ENMA";"C/ MARCELIANO SANTA MARIA, 5";"09400";"Burgos";"Aranda de Duero";"ARANDA DE DUERO";"";"";"";"";"";"";"";"";"";"";"";
"09/000837";"";"MEDINA";"C/ SANTIAGO, 18";"09400";"Burgos";"Aranda de Duero";"ARANDA DE DUERO";"";"";"";"";"";"";"";"";"";"";"";
"24/007549";"";"CASA DE CULTURA";"Calle REAL 8";"24253";"León";"Valdefuentes del Páramo";"VALDEFUENTES DEL PARAMO";"VALDEFUENTES DEL PARAMO";"616332559";"";"";"";"";"";"64";"";"";"";
"42/000223";"";"PRIMI";"AVENIDA DE MADRID, 22";"42110";"Soria";"Ólvega";"OLVEGA";"OLVEGA";"976196144";"";"";"";"";"";"29";"";"";"";
"42/000224";"";"DISCO-BAR 13";"Calle PRIMO RIVERA, 13";"42100";"Soria";"Ágreda";"AGREDA";"AGREDA";"";"";"";"";"";"";"";"";"";"";
"09/000840";"";"LAGARESMA";"PLAZA MAYOR, 64";"09240";"Burgos";"Briviesca";"BRIVIESCA";"BRIVIESCA";"947590751";"";"";"";"";"";"";"";"";"";
"09/000843";"";"LA UNIÓN";"Plaza Sancho García 9";"09560";"Burgos";"Espinosa de los Monteros";"ESPINOSA DE LOS MONTEROS";"ESPINOSA DE LOS MONTEROS";"605354626";"";"";"";"";"";"15";"";"";"Si";
"09/000845";"";"MENA";"PLAZA SANCHO GARCIA, 24";"09560";"Burgos";"Espinosa de los Monteros";"ESPINOSA DE LOS MONTEROS";"";"";"";"";"";"";"";"";"";"";"";
"09/000852";"";"LA CARROZA";"";"09587";"Burgos";"Valle de Mena";"RIBOTA DE MENA";"";"";"";"";"";"";"";"";"";"";"";
"09/000862";"";"EL PUENTE";"AVDA. GENERAL FRANCO, 31";"09500";"Burgos";"Medina de Pomar";"MEDINA DE POMAR";"";"";"";"";"";"";"";"";"";"";"";
"09/000863";"";"EL BULEVAR";"C/ SAN FRANCISCO, 7";"09400";"Burgos";"Aranda de Duero";"ARANDA DE DUERO";"";"";"";"";"";"";"";"";"";"";"";
"09/000871";"";"HERNANDO";"CL/SAN JUAN, 2";"09349";"Burgos";"Cilleruelo de Abajo";"CILLERUELO DE ABAJO";"CILLERUELO DE ABAJO";"947507097";"";"";"";"";"";"21";"";"";"";
"09/000872";"";"LOS CANTOS";"PLAZA SAN MIGUEL, 3";"09341";"Burgos";"Tordómar";"TORDOMAR";"";"";"";"";"";"";"";"";"";"";"";
"09/000883";"";"COBRA";"CTRA/DE TRESPADERNE,19";"09549";"Burgos";"Valle de Tobalina";"PEDROSA DE TOBALINA";"PEDROSA DE TOBALINA";"947303542";"";"";"";"";"";"56";"";"";"";
"09/000889";"";"COPY";"GARCI FERNANDEZ, 2";"09346";"Burgos";"Covarrubias";"COVARRUBIAS";"";"";"";"";"";"";"";"";"";"";"";
"47/002894";"";"EL YUGO";"SAN JOSÉ, 1";"47151";"Valladolid";"Boecillo";"BOECILLO";"BOECILLO";"983552455";"654841536";"";"chiviboe@hotmail.com";"";"";"";"";"";"";
"09/000892";"";"PICOSPARDOS";"CL/CARMEN, 13";"09340";"Burgos";"Lerma";"LERMA";"LERMA";"680977471";"";"";"";"";"";"19";"";"";"";
"09/000896";"";"TXAKOLI";"C/ MIGUEL DE CERVANTES, S/N";"09580";"Burgos";"Valle de Mena";"VILLASANA DE MENA";"";"";"";"";"";"";"";"";"";"";"";
"09/000937";"";"YAGÜE 37";"AVDA. DE LA PAZ, 37";"09004";"Burgos";"Burgos";"BURGOS";"";"";"";"";"";"";"";"";"";"";"";
"09/000947";"";"CHISPAS";"C/ MAYOR, Nº 292";"09690";"Burgos";"Vilviestre del Pinar";"VILVIESTRE DEL PINAR";"";"";"";"";"";"";"";"";"";"";"";
"09/000948";"";"LUJAN";"CL/ BURGENSE, S/N";"09002";"Burgos";"Burgos";"BURGOS";"";"947208724";"";"";"";"";"";"12";"";"";"";
"09/000950";"";"LA MANCHA";"Calle LOGROÑO 16  BJ";"09200";"Burgos";"Miranda de Ebro";"MIRANDA DE EBRO";"MIRANDA DE EBRO";"635056049";"";"";"venegaskmorante@gmail.com";"";"";"21";"";"";"Si";
"09/000955";"";"COME Y CALLA";"Calle SANTA LUCÍA, 2";"09200";"Burgos";"Miranda de Ebro";"MIRANDA DE EBRO";"MIRANDA DE EBRO";"607941446";"";"";"comeycallamiranda@gmailcom";"";"";"19";"";"";"";
"09/000957";"";"LOS MONTEROS";"Calle Vitoria, 10";"09200";"Burgos";"Miranda de Ebro";"MIRANDA DE EBRO";"MIRANDA DE EBRO";"947332703";"";"";"fiscal@siemmiranda.com";"";"";"24";"";"";"Si";
"09/000968";"";"MARIMORENA";"Calle Dos de Mayo, 3";"09200";"Burgos";"Miranda de Ebro";"MIRANDA DE EBRO";"MIRANDA DE EBRO";"618458559";"";"";"alfredoselas@hotmail.com";"";"";"18";"";"";"Si";
"09/000980";"";"EL RINCON DEL JAMON";"C/ SORRIBAS, 18";"09200";"Burgos";"Miranda de Ebro";"MIRANDA DE EBRO";"";"";"";"";"";"";"";"";"";"";"";
"09/000981";"";"JUMAR";"CL/ARZOBISPO DE CASTRO, 15";"09007";"Burgos";"Burgos";"BURGOS";"";"947219869";"";"";"";"";"";"40";"";"";"";
"09/000001";"";"LONDON";"CL/VITORIA, 186";"09007";"Burgos";"Burgos";"BURGOS";"BURGOS";"617195014";"";"";"carolina321@msn.com";"";"";"21";"";"";"";
"09/000606";"";"QUO";"PZA/BERNARDAS,S/N";"09004";"Burgos";"Burgos";"BURGOS";"BURGOS";"649981234";"";"";"";"";"";"12";"";"";"Si";
"09/000814";"";"EL CALLEJON";"CL/JUAN DE AUSTRIA, 8";"09001";"Burgos";"Burgos";"BURGOS";"BURGOS";"615237904";"";"";"";"";"";"31";"";"";"";
"09/000567";"";"LA LAGUNA NEGRA";"CTRA. LAGUNA NEGRA";"09679";"Burgos";"Neila";"NEILA";"";"";"";"";"";"";"";"";"";"";"";
"09/001015";"";"VIENA";"C/ FIDEL GARCIA, 9";"09200";"Burgos";"Miranda de Ebro";"MIRANDA DE EBRO";"";"";"";"";"";"";"";"";"";"";"";
"09/001017";"";"COTTON CLUB";"Calle Francisco Cantera, 4";"09200";"Burgos";"Miranda de Ebro";"MIRANDA DE EBRO";"MIRANDA DE EBRO";"947332703";"";"";"fiscal@siemmiranda.com";"";"";"18";"";"";"Si";
"09/001053";"";"ASADOR LA CASONA";"CL/ERAS DE SAN JUAN, 3";"09200";"Burgos";"Miranda de Ebro";"MIRANDA DE EBRO";"MIRANDA DE EBRO";"";"";"";"";"";"";"";"";"";"";
"09/001070";"";"SIXTO";"C/ COMUNEROS DE CASTILLA, Nº 23";"09006";"Burgos";"Burgos";"BURGOS";"BURGOS";"";"";"";"";"";"";"";"";"";"";
"09/001081";"";"LA ESPIGA";"AVDA/FUENTEVIEJA, 7";"09310";"Burgos";"Torresandino";"TORRESANDINO";"TORRESANDINO";"947551126";"";"";"";"";"";"26";"";"";"";
