"N.Registro";"Tipo";"Categoría";"Especialidades";"Nombre";"Dirección";"C.Postal";"Provincia";"Municipio";"Localidad";"Nucleo";"Teléfono 1";"Teléfono 2";"Teléfono 3";"Email";"web";"Q Calidad";"Plazas";"GPS.Longitud";"GPS.Latitud";"accesible a personas con discapacidad";
"05/000057";"Restaurante";"4ª - 1 Tenedor";"";"GREDOS";"TRAVESIA, 2";"05417";"Ávila";"Guisando";"GUISANDO";"";"920370912";"";"";"";"";"";"40";"";"";"";
"05/000058";"Restaurante";"3ª - 2 Tenedores";"";"THOMAS";"PZA. QUINTA BANDERA CASTILLA, 1";"05250";"Ávila";"Hoyo de Pinares (El)";"HOYO DE PINARES (EL)";"";"918638563";"";"";"";"";"";"50";"";"";"";
"05/000061";"Restaurante";"3ª - 2 Tenedores";"";"LOS ANGELES";"LOS ANGELES, 12";"05220";"Ávila";"Madrigal de las Altas Torres";"MADRIGAL DE LAS ALTAS TORRES";"";"920320822";"";"";"";"";"";"99";"";"";"";
"05/000062";"Restaurante";"3ª - 2 Tenedores";"";"EL TOSTON DE ORO";"AVDA. DE LOS DEPORTES Nº 2";"05200";"Ávila";"Arévalo";"AREVALO";"AREVALO";"920300798";"920300225";"";"";"";"";"300";"";"";"";
"05/000068";"Restaurante";"4ª - 1 Tenedor";"";"LAS GRUTAS DEL AGUILA";"PARAJE GRUTAS DEL AGUILA";"05418";"Ávila";"Arenas de San Pedro";"RAMACASTAÑAS";"RAMACASTAÑAS";"920370148";"920377106";"654763273";"dismotorico@yahoo.es";"";"";"40";"";"";"";
"05/000069";"Restaurante / Bar";"4ª - 1 Tenedor";"";"MESON DE LAS CHULETAS";"CAMINO GRUTAS DEL AGUILA, 1";"05418";"Ávila";"Arenas de San Pedro";"RAMACASTAÑAS";"RAMACASTAÑAS";"920370885";"";"";"";"";"";"30";"";"";"";
"05/000071";"Restaurante / Bar";"4ª - 1 Tenedor";"";"ADALIA";"Calle C/ SAN PEDRO BAUTISTA, 35";"05005";"Ávila";"Ávila";"AVILA";"AVILA";"920220041";"";"";"";"";"";"35";"";"";"";
"05/000072";"Restaurante / Bar";"4ª - 1 Tenedor";"";"ROSI";"Calle DAVID HERRERO, 1";"05005";"Ávila";"Ávila";"AVILA";"AVILA";"666247615";"";"";"";"";"";"26";"";"";"";
"05/000073";"Restaurante";"4ª - 1 Tenedor";"";"LOS LEALES";"PLAZA DE ITALIA, 4";"05001";"Ávila";"Ávila";"AVILA";"";"920211329";"";"";"";"";"";"32";"";"";"";
"05/000078";"Restaurante";"4ª - 1 Tenedor";"";"MESON VALLE AMBLES";"Carretera PIEDRAHITA-BARCO 3.8";"05192";"Ávila";"Colilla (La)";"COLILLA (LA)";"COLILLA (LA)";"635768845";"";"";"";"";"";"105";"-4,745403";"40,639768";"";
"05/000079";"Restaurante";"3ª - 2 Tenedores";"";"RIVERTRAN";"AVDA. JOSE MARIA, S/N";"05410";"Ávila";"Mombeltrán";"MOMBELTRAN";"";"920386131";"";"";"";"";"";"122";"";"";"";
"05/000080";"Restaurante";"4ª - 1 Tenedor";"";"HERMANOS MARTIN";"Calle VALLADOLID 40";"05005";"Ávila";"Ávila";"AVILA";"AVILA";"698536712";"";"";"yuveris@gmail.com";"";"";"12";"";"";"";
"05/000081";"Restaurante";"3ª - 2 Tenedores";"";"AVENIDA";"AVDA. CASTILLA Y LEON, 34";"05430";"Ávila";"Adrada (La)";"ADRADA (LA)";"";"918671278";"";"";"";"";"";"68";"";"";"";
"05/000083";"Restaurante / Bar";"4ª - 1 Tenedor";"";"LA HUERTA";"Avenida DEL ROZADO 2";"05440";"Ávila";"Piedralaves";"PIEDRALAVES";"PIEDRALAVES";"691854639";"";"";"";"";"";"75";"";"";"";
"05/000085";"Restaurante / Bar";"3ª - 2 Tenedores";"";"EL VALLE (CIERRE TEMPORAL)";"CTRA. AVILA-SALAMANCA, KM. 25";"05350";"Ávila";"San Pedro del Arroyo";"SAN PEDRO DEL ARROYO";"SAN PEDRO DEL ARROYO";"920240230";"";"";"";"";"";"73";"";"";"";
"05/000086";"Restaurante / Bar";"4ª - 1 Tenedor";"";"AVENIDA";"CTRA. MADRID,  N º 92-96";"05100";"Ávila";"Navaluenga";"NAVALUENGA";"NAVALUENGA";"920298618";"";"";"";"";"";"40";"";"";"Si";
"05/000087";"Restaurante";"3ª - 2 Tenedores";"";"LA RAMA";"LA RAMA, 3";"05428";"Ávila";"Casillas";"CASILLAS";"";"918660171";"";"";"";"";"";"32";"";"";"";
"05/000088";"Restaurante";"4ª - 1 Tenedor";"";"TANGER";"URB. PUENTE VIEJO";"05291";"Ávila";"Maello";"MAELLO";"";"";"";"";"";"";"";"43";"";"";"";
"05/000089";"Restaurante";"3ª - 2 Tenedores";"";"ANDURIÑA";"AVDA. EMILIO ROMERO, 29";"05200";"Ávila";"Arévalo";"AREVALO";"AREVALO";"920301569";"";"";"";"";"";"40";"";"";"";
"05/000090";"Restaurante";"3ª - 2 Tenedores";"";"DONIS";"PZA. SALVADOR, 2";"05200";"Ávila";"Arévalo";"AREVALO";"AREVALO";"920300692";"";"";"";"";"";"120";"";"";"";
"05/000091";"Restaurante / Bar";"4ª - 1 Tenedor";"";"EL CHATO";"Calle GENERAL SANJURJO, 28";"05110";"Ávila";"Barraco (El)";"BARRACO (EL)";"BARRACO (EL)";"920281024";"";"";"daso86@hotmail.com";"";"";"49";"-4,6413845";"40,4763729";"";
"05/000092";"Restaurante";"3ª - 2 Tenedores";"";"LA CASONA";"C/ PINILLAS, Nº 20";"05500";"Ávila";"Piedrahíta";"PIEDRAHITA";"PIEDRAHITA";"920360071";"920360362";"";"";"";"";"175";"";"";"";
"05/000093";"Restaurante";"3ª - 2 Tenedores";"";"CASA FERMIN";"CTRA. ALCORCON-PLASENCIA, S/N.";"05429";"Ávila";"Santa María del Tiétar";"SANTA MARIA DEL TIETAR";"SANTA MARIA DEL TIETAR";"918662222";"";"";"";"";"";"145";"";"";"";
"05/000095";"Restaurante / Bar";"4ª - 1 Tenedor";"";"EL CHULETON";"AVDA. GREDOS, 36";"05112";"Ávila";"Navalmoral";"NAVALMORAL";"NAVALMORAL";"920280379";"";"";"";"";"";"24";"";"";"";
"05/000096";"Restaurante / Bar";"4ª - 1 Tenedor";"";"LA ALAMEDA";"C/ LA ALAMEDA, Nº 2";"05600";"Ávila";"Barco de Ávila (El)";"BARCO DE AVILA (EL)";"BARCO DE AVILA (EL)";"920341335";"";"";"";"";"";"83";"";"";"";
"05/000098";"Restaurante";"3ª - 2 Tenedores";"";"GRAN PRIX HORNO SANTA TERESA";"SAN NICOLAS, 21";"05002";"Ávila";"Ávila";"AVILA";"";"920213811";"920229118";"";"";"";"";"100";"";"";"";
"05/000100";"Restaurante / Bar";"4ª - 1 Tenedor";"";"CAMPING CASAVIEJA";"Paraje FUENTE HELECHA S/N";"05450";"Ávila";"Casavieja";"CASAVIEJA";"CASAVIEJA";"918678589";"";"";"";"";"";"169";"";"";"Si";
"05/000101";"Restaurante";"4ª - 1 Tenedor";"";"POKER";"REAL, S/N";"05293";"Ávila";"Peguerinos";"PEGUERINOS";"";"918983000";"";"";"";"";"";"38";"";"";"";
"05/000102";"Restaurante / Bar";"4ª - 1 Tenedor";"";"VENTA DE SAN JOSE";"CARRETERA DE BURGOHONDO, K. 2'800";"05002";"Ávila";"Ávila";"AVILA";"";"920212504";"";"";"";"";"";"124";"";"";"";
"05/000103";"Restaurante";"4ª - 1 Tenedor";"";"LA FLOR";"CTRA. EL PINAR, S/N";"05293";"Ávila";"Peguerinos";"PEGUERINOS";"PEGUERINOS";"918983040";"";"";"";"";"";"22";"";"";"";
"05/000107";"Restaurante / Bar";"4ª - 1 Tenedor";"";"VENTA RASCA";"CTRA. AVILA-TALAVERA, KM. 44";"05132";"Ávila";"San Martín del Pimpollar";"SAN MARTIN DEL PIMPOLLAR";"*DISEMINADO*";"920348227";"";"";"";"";"";"85";"";"";"";
"05/000108";"Restaurante / Bar";"4ª - 1 Tenedor";"";"TARELO";"Avenida MADRID 12";"05420";"Ávila";"Sotillo de la Adrada";"SOTILLO DE LA ADRADA";"SOTILLO DE LA ADRADA";"918660889";"650357314";"";"barrestaurantetarelo@gmail.com";"";"";"113";"";"";"Si";
"05/000110";"Restaurante / Bar";"4ª - 1 Tenedor";"";"LOS CHAPALES";"COMPLEJO POLIDEPORTIVO MUNICIPAL";"05410";"Ávila";"Mombeltrán";"MOMBELTRAN";"MOMBELTRAN";"617207039";"920371496";"634526464";"";"";"";"46";"-5,0173535";"40,2620026";"Si";
"05/000111";"Restaurante";"4ª - 1 Tenedor";"";"LA PRINCIPAL";"C/ MAYOR, Nº 5";"05600";"Ávila";"Barco de Ávila (El)";"BARCO DE AVILA (EL)";"";"920340322";"";"";"";"";"";"16";"";"";"";
"05/000112";"Restaurante";"3ª - 2 Tenedores";"";"LA LUMBRE";"Calle TOMAS LUIS DE VICTORIA 3";"05001";"Ávila";"Ávila";"AVILA";"AVILA";"920707092";"";"";"";"";"";"110";"";"";"Si";
"05/000113";"Restaurante / Bar";"4ª - 1 Tenedor";"";"VENTA LA COLILLA";"Carretera NACIONAL 110 - SORIA-PLASENCIA KM.261";"05192";"Ávila";"Colilla (La)";"COLILLA (LA)";"COLILLA (LA)";"920285682";"644603078";"";"";"";"";"50";"-4,754844";"40,636535";"";
"05/000116";"Restaurante / Bar";"4ª - 1 Tenedor";"";"LA ALDEA";"Calle CAMINO DEL CUBILLO 1";"05193";"Ávila";"Santa María del Cubillo";"ALDEAVIEJA";"ALDEAVIEJA";"663320241";"";"";"";"";"";"40";"";"";"";
"05/000117";"Restaurante";"4ª - 1 Tenedor";"";"CASTILLA";"Pº DE LA ESTACION";"05300";"Ávila";"Crespos";"CRESPOS";"CRESPOS";"920244110";"";"";"";"";"";"24";"";"";"";
"05/000119";"Restaurante / Bar";"4ª - 1 Tenedor";"";"VENTA LA CANALEJA";"Carretera DE  SALAMANCA, KM. 2,5";"05002";"Ávila";"Ávila";"AVILA";"AVILA";"920213131";"655464450";"";"";"";"";"36";"-4,711644";"40,658777";"Si";
"05/000122";"Restaurante";"4ª - 1 Tenedor";"";"LA TENERIA";"AVIACION ESPAÑOLA, S/N";"05480";"Ávila";"Candeleda";"CANDELEDA";"";"920380569";"";"";"";"";"";"24";"";"";"";
"05/000123";"Restaurante";"4ª - 1 Tenedor";"";"DARIO";"LOPE DE VEGA, 7";"05480";"Ávila";"Candeleda";"CANDELEDA";"";"920380604";"";"";"";"";"";"31";"";"";"";
"05/000126";"Restaurante / Bar";"4ª - 1 Tenedor";"";"ROMOGUSMA";"Camino DE GALAPAGAR 2";"05113";"Ávila";"Burgohondo";"BURGOHONDO";"BURGOHONDO";"920283232";"";"";"";"";"";"150";"-4,76058";"40,398415";"Si";
"05/000127";"Restaurante";"3ª - 2 Tenedores";"";"EL PORCHE";"CTRA. SANCHIDRIAN, S/N";"05164";"Ávila";"Hernansancho";"HERNANSANCHO";"";"920261020";"";"";"";"";"";"29";"";"";"";
"05/000129";"Restaurante / Bar";"3ª - 2 Tenedores";"";"CASA SIMONA";"Calle SINDICAL 6";"05200";"Ávila";"Arévalo";"AREVALO";"AREVALO";"637983695";"";"";"";"";"";"140";"-4,719641";"41,058824";"Si";
"05/000130";"Restaurante / Bar";"3ª - 2 Tenedores";"";"LUNA";"CTRA. AVILA-PLASENCIA";"05530";"Ávila";"Muñogalindo";"MUÑOGALINDO";"MUÑOGALINDO";"920265337";"";"";"";"";"";"41";"";"";"";
"05/000131";"Restaurante";"4ª - 1 Tenedor";"";"PANCHO";"DOCTOR RODRIGUEZ MIÑON, S/N";"05420";"Ávila";"Sotillo de la Adrada";"SOTILLO DE LA ADRADA";"";"918660133";"";"";"";"";"";"66";"";"";"";
"05/000132";"Restaurante / Bar";"4ª - 1 Tenedor";"";"GRAN OASIS";"AFUERAS, 1";"05550";"Ávila";"Amavida";"AMAVIDA";"";"920230009";"";"";"";"";"";"24";"";"";"";
"05/000135";"Restaurante";"4ª - 1 Tenedor";"";"EL RUBIO";"CASERIOS DEL SUR, 1";"05500";"Ávila";"Piedrahíta";"PIEDRAHITA";"";"920360210";"";"";"";"";"";"24";"";"";"";
"05/000138";"Restaurante";"3ª - 2 Tenedores";"";"BRIGHTON";"Calle CRISTO DE LA LUZ, S/N";"05001";"Ávila";"Ávila";"AVILA";"AVILA";"920227295";"";"";"";"";"";"300";"";"";"";
"05/000140";"Restaurante";"4ª - 1 Tenedor";"";"MESON EL PUENTE TORMES";"C/ EL PUENTE, 17";"05600";"Ávila";"Barco de Ávila (El)";"BARCO DE AVILA (EL)";"";"920340277";"";"";"";"";"";"100";"";"";"";
"05/000141";"Restaurante / Salón banquete / Cafetería / Bar";"1ª - 4 Tenedores";"9#Mesón#|";"VENTA SAN MIGUEL ANTIGUA VENTA JOROBA";"Carretera NACIONAL 502, KM.50";"05132";"Ávila";"San Martín del Pimpollar";"SAN MARTIN DEL PIMPOLLAR";"SAN MARTIN DEL PIMPOLLAR";"920207470";"";"";"reservas@ventasanmiguel.com";"www.ventsanmiguel.com";"";"135";"-5,0152778";"40,3622222";"Si";
"05/000142";"Restaurante / Bar";"4ª - 1 Tenedor";"";"LAS MURALLAS";"Plaza DE SAN VICENTE 3";"05001";"Ávila";"Ávila";"AVILA";"AVILA";"920229362";"";"";"info@hotellasmurallas.com";"";"";"59";"";"";"";
"05/000144";"Restaurante";"4ª - 1 Tenedor";"";"ROYFE";"DR. MARAÑON, S/N";"05480";"Ávila";"Candeleda";"CANDELEDA";"CANDELEDA";"920380184";"";"";"";"";"";"375";"";"";"";
"05/000145";"Restaurante / Bar";"3ª - 2 Tenedores";"";"PEGUERINOS";"AVDA. MADRID, 9";"05293";"Ávila";"Peguerinos";"PEGUERINOS";"PEGUERINOS";"918983022";"";"";"";"";"";"56";"";"";"Si";
"05/000146";"Restaurante / Cafetería / Bar";"3ª - 2 Tenedores";"";"OLIMPO";"PASEO DE LA ESTACION, 27";"05001";"Ávila";"Ávila";"AVILA";"AVILA";"920227689";"";"";"";"";"";"143";"-4,684902";"40,657138";"";
"05/000148";"Restaurante / Bar";"4ª - 1 Tenedor";"";"DIEGO'S";"C/ REAL DE ABAJO, Nº 26";"05110";"Ávila";"Barraco (El)";"BARRACO (EL)";"BARRACO (EL)";"651699267";"";"";"";"";"";"80";"-4,5018308";"40,4150608";"";
"05/000149";"Restaurante";"3ª - 2 Tenedores";"";"LA PARRILLA CHARRA";"ANICETO MARINAS, 27";"05230";"Ávila";"Navas del Marqués (Las)";"NAVAS DEL MARQUES (LAS)";"NAVAS DEL MARQUES (LAS)";"918972382";"";"";"";"";"";"50";"-4,336907";"40,599102";"";
"05/000151";"Restaurante";"4ª - 1 Tenedor";"";"LA BODEGA";"GENERAL FRANCO, 39";"05110";"Ávila";"Barraco (El)";"BARRACO (EL)";"BARRACO (EL)";"920281423";"";"";"";"";"";"32";"-4,6447109";"40,4775393";"";
"05/000152";"Restaurante";"3ª - 2 Tenedores";"";"EL QUINTO PINO";"CTRA. PLASENCIA, S/N";"05520";"Ávila";"Padiernos";"PADIERNOS";"PADIERNOS";"920265469";"";"";"";"";"";"56";"-4,842074";"40,614657";"";
"05/000153";"Restaurante";"3ª - 2 Tenedores";"";"PIEDRAHITA";"EXTRAMUROS, 64";"05500";"Ávila";"Piedrahíta";"PIEDRAHITA";"";"920360861";"";"";"";"";"";"175";"";"";"";
"05/000154";"Restaurante";"4ª - 1 Tenedor";"";"LA POSADA DE LA FRUTA";"PEDRO DAVILA, PLAZA, 8";"05001";"Ávila";"Ávila";"AVILA";"AVILA";"920254702";"989870028";"";"";"";"";"77";"";"";"";
"05/000155";"Restaurante";"4ª - 1 Tenedor";"";"OLIVER";"CTRA. SANTA CRUZ, S/N";"05412";"Ávila";"San Esteban del Valle";"SAN ESTEBAN DEL VALLE";"";"920386136";"";"";"";"";"";"25";"";"";"";
"05/000156";"Restaurante";"3ª - 2 Tenedores";"";"VENTA DEL OBISPO";"CTRA. AVILA-TALAVERA, KM. 47";"05132";"Ávila";"San Martín del Pimpollar";"SAN MARTIN DEL PIMPOLLAR";"*DISEMINADO*";"920207529";"";"";"";"";"";"85";"";"";"";
"05/000157";"Restaurante / Bar";"4ª - 1 Tenedor";"";"AEROCLUB";"CTRA. SAN PEDRO DEL ARROYO";"05290";"Ávila";"Sanchidrián";"SANCHIDRIAN";"";"920318078";"";"";"";"";"";"90";"";"";"";
"05/000158";"Restaurante";"4ª - 1 Tenedor";"";"ROPINO";"LAS SAYUELAS, S/N";"05489";"Ávila";"Candeleda";"RASO (EL)";"RASO (EL)";"920389788";"";"";"";"";"";"170";"-5,330922";"40,172454";"Si";
"05/000159";"Restaurante / Bar";"4ª - 1 Tenedor";"";"EL TRECE";"C/ LA VILLA, 37";"05440";"Ávila";"Piedralaves";"PIEDRALAVES";"PIEDRALAVES";"635562036";"";"";"";"";"";"43";"";"";"";
"05/000161";"Restaurante";"3ª - 2 Tenedores";"";"EL MOLINO DE LA LOSA";"BAJADA DE LA LOSA, 12";"05002";"Ávila";"Ávila";"AVILA";"AVILA";"920211101";"920211102";"";"info@elmolinodelalosa.com";"";"";"144";"-4,709273";"40,658878";"";
"05/000162";"Restaurante";"4ª - 1 Tenedor";"";"GREDOS";"Calle SAN CRISTOBAL, 3";"05510";"Ávila";"Santa María del Berrocal";"SANTA MARIA DEL BERROCAL";"SANTA MARIA DEL BERROCAL";"920367172";"";"";"";"";"";"72";"";"";"";
"05/000163";"Restaurante";"3ª - 2 Tenedores";"";"TALIN";"PZA. ESPAÑA, 9";"05260";"Ávila";"Cebreros";"CEBREROS";"CEBREROS";"918630034";"";"";"";"";"";"130";"";"";"";
"05/000164";"Restaurante / Bar";"4ª - 1 Tenedor";"";"PEDROS";"RAMON Y CAJAL, 6";"05480";"Ávila";"Candeleda";"CANDELEDA";"CANDELEDA";"920380839";"";"";"";"";"";"48";"";"";"";
"05/000166";"Restaurante / Bar";"4ª - 1 Tenedor";"";"EL CHOPO";"CTRA. MUÑICO, 28";"05140";"Ávila";"Martiherrero";"MARTIHERRERO";"MARTIHERRERO";"920269506";"920269525";"";"";"";"";"21";"";"";"";
"05/000167";"Restaurante / Bar";"4ª - 1 Tenedor";"";"LAS CHUMBERAS";"C/ SARGENTO PROVISIONAL, Nº 42";"05490";"Ávila";"Lanzahíta";"LANZAHITA";"";"920378765";"";"";"";"";"";"38";"";"";"";
"05/000168";"Restaurante";"4ª - 1 Tenedor";"";"CASA LUCIO";"C/ PASION,  Nº 3";"05600";"Ávila";"Barco de Ávila (El)";"BARCO DE AVILA (EL)";"BARCO DE AVILA (EL)";"920340447";"920340759";"";"";"www.casalucio.net";"";"70";"";"";"";
"05/000169";"Restaurante / Bar";"3ª - 2 Tenedores";"";"DON FINARDO";"Calle GREDOS 9";"05480";"Ávila";"Candeleda";"CANDELEDA";"CANDELEDA";"653755730";"";"";"raul-fernandez-reviriego1@outlook.es";"";"";"91";"";"";"";
"05/000170";"Restaurante";"4ª - 1 Tenedor";"";"EL PORVENIR";"C/ LA VEGA, 2";"05140";"Ávila";"Martiherrero";"MARTIHERRERO";"";"920269403";"";"";"";"";"";"40";"";"";"";
"05/000171";"Restaurante";"2ª - 3 Tenedores";"";"DRACO'S";"SERRALLO, 49";"05260";"Ávila";"Cebreros";"CEBREROS";"CEBREROS";"918630617";"918630529";"";"";"";"";"440";"";"";"Si";
"05/000172";"Restaurante";"4ª - 1 Tenedor";"";"FLORENTINO";"SOLOSANCHO, S/N";"05130";"Ávila";"Solosancho";"ROBLEDILLO";"ROBLEDILLO";"920291273";"";"";"";"";"";"119";"";"";"";
"05/000180";"Restaurante";"4ª - 1 Tenedor";"";"EL RANCHERO";"C/ IGLESIA, 18";"05450";"Ávila";"Casavieja";"CASAVIEJA";"CASAVIEJA";"918678104";"";"";"";"";"";"40";"";"";"";
"05/000181";"Restaurante / Bar";"4ª - 1 Tenedor";"";"HERMANOS MARTIN";"Avenida JUAN CARLOS I 26  B";"05004";"Ávila";"Ávila";"AVILA";"AVILA";"654772995";"";"";"titoancla@gmail.com";"";"";"247";"";"";"Si";
"05/000183";"Restaurante / Cafetería / Bar";"4ª - 1 Tenedor";"";"MAINZ";"Avda. Castilla y León, 27";"05440";"Ávila";"Piedralaves";"PIEDRALAVES";"PIEDRALAVES";"918665775";"655580923";"";"";"";"";"89";"";"";"Si";
